wavelength (nm),intensity ((uW/cm^2)/nm)
541.332,0.005863719
541.608,0.004020019
541.884,0.003662856
542.160,0.006066189
542.436,0.004809601
542.713,0.004985618
542.989,0.006401725
543.265,0.008517002
543.541,0.007897428
543.817,0.010302177
544.093,0.011555464
544.369,0.012443776
544.645,0.012001796
544.921,0.012730691
545.197,0.012755349
545.473,0.013858219
545.748,0.012558547
546.024,0.011484567
546.300,0.012770689
546.576,0.01233042
546.852,0.010217103
547.127,0.009478572
547.403,0.007879736
547.679,0.006959168
547.954,0.005277818
548.230,0.005463816
548.506,0.005481903
548.781,0.007397096
549.057,0.006660991
549.332,0.008762283
549.608,0.008835779
549.883,0.007554813
550.159,0.006704638
550.434,0.008788994
550.710,0.009919773
550.985,0.012663457
551.260,0.014373727
551.536,0.015295307
551.811,0.014539219
552.086,0.013003678
552.362,0.009387757
552.637,0.00965695
552.912,0.006756305
553.187,0.005092676
553.463,0.004244336
553.738,0.005734841
554.013,0.004416164
554.288,0.003652878
554.563,0.001837912
554.838,0.001616854
555.113,0.001708955
555.388,0.002105833
555.663,0.002003279
555.938,0.005891691
556.213,0.005641455
556.488,0.006914351
556.763,0.010293348
557.038,0.01261257
557.312,0.011250316
557.587,0.013347824
557.862,0.014474142
558.137,0.014143575
558.411,0.013910727
558.686,0.012727888
558.961,0.011853184
559.236,0.012327395
559.510,0.009505236
559.785,0.009881151
560.059,0.010842323
560.334,0.008940196
560.608,0.007090234
560.883,0.008611953
561.157,0.008501783
561.432,0.007599638
561.706,0.007460147
561.981,0.008129829
562.255,0.008100603
562.529,0.011159665
562.804,0.010898104
563.078,0.013380791
563.352,0.014278669
563.627,0.014348925
563.901,0.014243001
564.175,0.016175598
564.449,0.015645694
564.723,0.014830864
564.998,0.014338473
565.272,0.015110852
565.546,0.014664109
565.820,0.016853642
566.094,0.016651829
566.368,0.019077811
566.642,0.018284042
566.916,0.017903965
567.190,0.017448682
567.464,0.01947606
567.738,0.01823919
568.011,0.019545705
568.285,0.019177981
568.559,0.019424131
568.833,0.018791132
569.107,0.018461922
569.380,0.017923313
569.654,0.017537155
569.928,0.017482496
570.201,0.018723171
570.475,0.019433502
570.749,0.020263205
571.022,0.019888239
571.296,0.020553912
571.569,0.019230203
571.843,0.020622096
572.116,0.023159293
572.390,0.024423801
572.663,0.025245422
572.937,0.02643788
573.210,0.027966208
573.483,0.028559575
573.757,0.02891777
574.030,0.02829868
574.303,0.029009469
574.576,0.028427386
574.850,0.02807861
575.123,0.031749535
575.396,0.031112323
575.669,0.029468661
575.942,0.031506287
576.215,0.032868417
576.489,0.033396214
576.762,0.033875664
577.035,0.03415946
577.308,0.035963287
577.581,0.037838268
577.854,0.036982767
578.126,0.040043065
578.399,0.042496349
578.672,0.04124025
578.945,0.04314199
579.218,0.047172755
579.491,0.048475782
579.764,0.048965852
580.036,0.050101595
580.309,0.049802004
580.582,0.053067292
580.854,0.052942529
581.127,0.054774925
581.400,0.058453325
581.672,0.060266508
581.945,0.061025216
