wavelength (nm),intensity ((uW/cm^2)/nm)
669.406,0.005140834
669.670,0.006997787
669.934,0.00680747
670.198,0.006152835
670.462,0.003165728
670.726,0.005900909
670.989,0.001839505
671.253,0.005202073
671.517,0.007048944
671.780,0.005546153
672.044,0.008964351
672.307,0.00917105
672.571,0.01142604
672.835,0.011956754
673.098,0.008159589
673.362,0.009944142
673.625,0.009141535
673.888,0.011564895
674.152,0.010969296
674.415,0.012627561
674.679,0.010390463
674.942,0.011181166
675.205,0.011178196
675.468,0.010882315
675.732,0.010763533
675.995,0.008129475
676.258,0.009378677
676.521,0.013695579
676.784,0.011451071
677.047,0.012246554
677.310,0.010666706
677.573,0.009941836
677.836,0.010464843
678.099,0.010961616
678.362,0.008605125
678.625,0.010665292
678.888,0.006207286
679.151,0.007585168
679.414,0.008330181
679.677,0.007516196
679.939,0.00386341
680.202,0.005465046
680.465,0.006373084
680.728,0.004928993
680.990,0.003654951
681.253,0.002745167
681.516,0.00018309
681.778,0.000481523
682.041,-0.000882014
682.303,0.004578107
682.566,0.003581137
682.828,0.00104423
683.091,-0.002641519
683.353,-0.001607075
683.615,-0.004140102
683.878,-0.005506822
684.140,-0.006340276
684.402,-0.004792888
684.665,-0.006336565
684.927,-0.006039961
685.189,-0.007284996
685.451,-0.005518226
685.713,-0.008128848
685.976,-0.007485061
686.238,-0.004566527
686.500,3.29665E-05
686.762,-0.001725286
687.024,0.000970902
687.286,0.001868098
687.548,0.001370521
687.810,-0.004019549
688.072,0.000896343
688.333,0.00155975
688.595,0.002377735
688.857,5.02199E-05
689.119,0.001863985
689.381,0.001670733
689.642,0.001410004
689.904,-0.001591405
690.166,0.004356226
690.427,0.002804456
690.689,0.003086975
690.951,0.005378955
691.212,0.009620138
691.474,0.010322045
691.735,0.012568994
691.997,0.011610838
692.258,0.012653181
692.520,0.010512721
692.781,0.009566979
693.042,0.010206773
693.304,0.013172471
693.565,0.006828397
693.826,0.008547802
694.088,0.008603056
694.349,0.006456436
694.610,0.008342561
694.871,0.007880504
695.132,0.004659162
695.393,0.003401116
695.654,0.003825757
695.915,0.004240906
696.177,0.003984706
696.438,0.002006787
696.698,0.000337051
696.959,0.002132877
697.220,0.001913735
697.481,0.003069629
697.742,0.003421265
698.003,0.003355804
698.264,0.002039005
698.524,0.004606116
698.785,0.007119867
699.046,0.010439942
699.307,0.00977635
699.567,0.010869772
699.828,0.011480156
700.088,0.013283616
700.349,0.011807972
700.609,0.010095752
700.870,0.006223938
701.130,0.007654987
701.391,0.004795216
701.651,0.004071091
701.912,0.005670403
702.172,0.009459578
702.432,0.006682064
702.693,0.006330299
702.953,0.005414767
703.213,0.006480028
703.473,0.004027273
703.734,0.005964126
703.994,0.009874593
704.254,0.015353389
704.514,0.011870188
704.774,0.014220995
705.034,0.01121002
705.294,0.008760798
705.554,0.00173576
705.814,0.00213499
706.074,0.003761857
706.334,0.001520311
706.594,-0.001087225
706.854,0.000863641
707.113,-0.00105943
707.373,-0.003144765
707.633,-0.00747558
707.893,-0.006078588
708.152,-0.005549059
708.412,-0.004436805
708.672,-0.005269447
708.931,-0.000262729
709.191,0.000400516
709.451,0.00099465
709.710,0.003564125
709.970,0.005820021
710.229,0.001931943
710.488,0.004923591
710.748,0.002286888
711.007,0.004413044
711.267,0.004811262
711.526,0.002711076
711.785,0.004603286
712.044,0.008037912
712.304,0.005582914
712.563,0.00410294
712.822,0.003811699
713.081,0.002638597
713.340,0.000766718
713.599,0.00326678
713.858,0.000759041
714.117,0.0057941
714.377,0.003480224
714.635,0.005543117
714.894,0.00877939
715.153,0.011209311
715.412,0.010724931
715.671,0.011885244
715.930,0.009511639
716.189,0.009595365
716.447,0.011059094
716.706,0.015519845
716.965,0.01566675
717.224,0.016271811
717.482,0.012293928
717.741,0.015475926
717.999,0.013828683
718.258,0.012203567
718.517,0.009097034
718.775,0.007491636
719.034,0.009428207
719.292,0.013536066
719.550,0.01150284
719.809,0.010619538
720.067,0.006897508
720.326,0.007536466
720.584,0.007230552
720.842,0.010143998
721.100,0.00659913
721.359,0.010019734
721.617,0.007713416
721.875,0.010438408
722.133,0.012924844
722.391,0.013095563
722.649,0.010124101
722.907,0.014718822
723.165,0.012780476
723.423,0.015577544
723.681,0.01177127
723.939,0.014813162
724.197,0.011280718
724.455,0.014067352
724.713,0.011098053
724.970,0.011601858
725.228,0.008020448
725.486,0.007685861
725.744,0.006012776
726.001,0.007378082
